method,rho_all,rho_nonbridge,n_all,n_nonbridge
"Baseline kappa (mu=0.5,p=1.0)",0.676870297013565,0.2047955162101447,411,322
"Learned kappa (mu*,p*)",0.6797081151602768,0.21509681150389523,411,322
Ridge (+ is_bridge),0.6770706050556747,0.21125299452139337,411,322
Ridge (no is_bridge),0.529873180541938,0.14913784911626754,411,322
RF (+ is_bridge),0.6287355904854618,0.05273746340745276,411,322
RF (no is_bridge),0.4912652260950874,-0.016758789230590886,411,322
GBR (+ is_bridge),0.6488411600777656,0.11085400949776172,411,322
GBR (no is_bridge),0.5790938201564171,0.08025769508675407,411,322
